Introduction,Title,Website
"AIMNET provides technology and automation solutions including remote
                                                monitoring, control and energy management services for both private and
                                                public-sector properties. A full-service company located in Connecticut
                                                with more
                                                than 2 decades
                                                of experience offering sales, installation and on-going support for a
                                                broad range of I.o.T. technologies. AIMNET, (Architectural
                                                Infrastructure Management NETwork), helps improve infrastructure
                                                operations, reduce long term
                                                operating costs
                                                and protect property and assets.",Aimnet,https://www.mysmartbuilding.com
"BMIL Technologies, LLC has been helping customers turn their cold
                                                storage ideas into affordable, efficient, and sturdy realities for more
                                                than 65 years. BMIL Technologies allows dreams and thoughts of a new
                                                refrigerated
                                                warehouse solution
                                                be written, refined, designed, manufactured, shipped, built, and
                                                utilized within a reasonable budget. BMIL specializes in the design,
                                                engineering, and packaging of commercial and industrial refrigeration
                                                projects worldwide.","BMIL Technologies
                                               ",https://bmil.com
"Brainlike, Inc. delivers edge-based solutions for reducing streams of
                                                cluttered sensor data to valuable nuggets of information, at the edge.
                                                Customers who deliver monitoring alerts from remote sensors benefit from
                                                Brainlike
                                                solutions that
                                                reduce transmission, battery replacement, false alarm, and missed event
                                                costs. Their products are designed to run on cell phones, smart radios,
                                                and specialized sensor processors.",Brainlike,https://www.brainlike.com
"Clearview Asset Protection is a veteran owned business located in
                                                Central Pennsylvania. We focus on threat mitigation,
                                                threat detection and threat assessment. Our goal is to make things safer
                                                for the community and those who help protect the
                                                community. Members of our company have dedicated the majority of their
                                                lives protecting the people of this country,
                                                whether in the Military, Law Enforcement or EMS. They know first-hand
                                                what it is like to respond to a chaotic and
                                                often life-threatening occurrences. That is why what we do is so
                                                important. With our integrated technology we have
                                                become a boots on the ground company making things technologically
                                                advanced for our law enforcement to have the upper hand on scenarios.","ClearView Asset
                                                Protection",http://www.clearviewassetprotection.com/
"Consolidated Solutions is a leading electrical manufacturer’s
                                                representative that provides all
                                                your equipment needs through a single source. We represent only the most
                                                reliable and reputable
                                                manufacturers, supported by experienced engineers and designers.","Consolidated
                                                Solutions",https://www.consolidatedsolns.com/
"Data Crunch’s Predictive IoT Cloud provides world-class predictive
                                                maintenance, real-time and pre-time alerts, and instant-insight
                                                dashboards to track, monitor, predict, and take action on your top
                                                priorities. Become more efficient, prevent problems before they arise,
                                                and audit all activity across your deployment. Prediction is the next
                                                generation of IoT—don’t just fix the problem, prevent it from ever
                                                becoming a problem in the first place.","Data Crunch Corp
                                               ",https://datacrunchcorp.com/
"ESBE Scientific is one of the largest 100% Canadian owned provider of
                                                laboratory equipment & supplies, servicing the Canadian scientific
                                                community since 1968. We provide top quality products and professional
                                                service at competitive prices for all types of scientific laboratories.","ESBE Scientific
                                               ",https://en.esbe.com/
"EVO Integration formerly Wiring by Wall Technologies
                                                is a division of Wiring by Wall Inc.
                                                A family owned company formed in 1977.
                                                With over 45 years of business experience we
                                                build relationships to last a life time.",EVO Integration,https://www.evointegration.com/
"The Grove Streams Data Analytics Platform is a cutting-edge cloud-based
                                                service providing decision making capabilities to many users and devices
                                                as data arrives from many sources. It was designed to be easy to use
                                                across
                                                multiple
                                                platforms by everyone from corporate app developers to product managers
                                                to sensor engineers to electronic enthusiasts. The Platform is easily
                                                scalable from one device to one million devices.","Grove Streams
                                               ",https://www.grovestreams.com
"JFC & Associates is an innovator and leader in integrating
                                                Enterprise Asset Management and IoT. Their end-to-end solutions connect
                                                the real world to the digital world. They help world-class organizations
                                                add and manage
                                                new
                                                technologies to accelerate their businesses and increase ROI. JFC has
                                                over 30 years of experience across a wide range of industries including
                                                transportation, aviation, utilities, education, highways, healthcare,
                                                manufacturing, defense and
                                                data centers.","JFC & Associates
                                               ",https://www.jfc-associates.com
"Lynxspring develops, manufactures and distributes edge-to-enterprise
                                                solutions and IoT technology to create intelligent buildings, equipment
                                                control and specialty machine-to-machine and IoT applications.
                                                Lynxspring technologies and solutions simplify connectivity,
                                                integration, interoperability, data access and normalization and
                                                analytics from the edge to the
                                                enterprise. The
                                                company’s
                                                solutions are deployed in millions of square feet of commercial settings
                                                in the United States and internationally.","Lynxspring, Inc.
                                               ",https://www.lynxspring.com/
"M2M Data Corp is a leading provider of remote asset monitoring and
                                                management services to the oil and gas, water/wastewater, power
                                                generation, and heavy equipment industries.","M2M Data Corp
                                               ",https://www.m2mdatacorp.com
"Founded in 2018 in Montreal by three building technology experts with a cumulative 50 years
                                                of experience, MicroBMS is a pioneering force in energy management for Electrical Vehicle
                                                Energy Management Systems (EVEMS) and the Internet of Things (IoT). Leveraging their
                                                expertise gained from a global technology leader in Dubai, MicroBMS is dedicated to
                                                enhancing energy efficiency and transforming cities into eco-responsible, intelligent
                                                spaces. With a clear mission to support a better future, they offer comprehensive IoT
                                                project deployment services, featuring wireless, non-invasive sensors and a NetZero
                                                roadmap. Committed to innovation and sustainability, MicroBMS's team ensures rapid
                                                installation, deploying up to 12 sensors per day, making them a trusted partner for
                                                quality technological and environmental transformation.","MicroBMS
                                               ",https://www.microbms.com/
"Registro y Monitoreo is an enterprise which core business is the
                                                promotion of the monitoring and register culture as a way to foster a
                                                sustainable environment, to optimize different manufacturing proceses
                                                and energy
                                                consumption. Registro y Monitoreo is leader in sensors and dataloggers
                                                distribution, and monitoring solutions development in Mexico and Central
                                                America.","Registro y Monitoreo
                                               ",http://www.rm2.io/
"RevX Systems specializes in cellular-enabled remote monitoring & control
                                                systems. As an authorized reseller of Monnit, we offer the full line of
                                                gateways and sensors with monthly subscription plans for nationwide
                                                Verizon cellular coverage, Monnit premier software and technical
                                                support. Our online activation portal enables you manage your devices,
                                                monitor usage, print and pay invoices with a credit card and bank draft.","RevX Systems
                                               ",http://www.revxsystems.com/
"Power TakeOff leverages Monnit monitoring solutions in its
                                                user-friendly, web-based, analytical and reporting software. Their
                                                portfolio of cellular, real-time reporting capabilities for commercial,
                                                industrial, and
                                                manufacturing businesses
                                                empower users with a detailed understanding of resource usage relative
                                                to operational performance of their facilities.","Power TakeOff
                                               ",https://www.powertakeoff.com
"SensorGO provides solutions for monitoring critical situations of your
                                                assets.",SensorGO,https://www.sensorgo.mx/
"Scigiene supplies cost effective monitoring solutions for temperature,
                                                humidity, and more along with service, certifications and calibrations
                                                for HACCP, 21 CFR Part 11, GMP and ISO9000 compliance. Our systems work
                                                with easy to use software packages to make your data collection and
                                                management both simple and yet flexible enough for integration with
                                                existing and future systems.",Scigiene,http://www.scigiene.com/
"SRT Labs automates the management and control of buildings, campus facilities,
                                                and entire cities. Our technology platform leverages customizable rules and direct
                                                input from robots, smart sensors, and critical software systems. This provides
                                                actionable insights, meaningful alerts and reporting, and cross-platform task
                                                automation, encompassing your entire data ecosystem, allowing your business to
                                                operate with greater efficiency, sustainability, and safety.",SRT Labs,https://srtlabs.com/
"Xponential facilitates the digital evolution of its customers by
                                                orchestrating end-to-end IoT ecosystems. By profoundly understanding the
                                                customer’s pain points, they design customized dashboards that provide
                                                clients with
                                                control
                                                (decision making), operational efficiency (cost savings) and value
                                                creation (revenue generation and customer engagement). They provide
                                                clients with a single point of contact as their services include:
                                                Professional Services,
                                                End-to-End
                                                Systems Integration and Managed Services. Xponential is part of Grupo
                                                Firmesa, a very well respected Ecuadorian corporation with over 46 years
                                                of experience.","Xponential
                                               ",https://xponential.tech
"AIR is a premier technology company, one of the largest Distributors of
                                                Motorola Solutions in the EMEA Region and System Integrator providing
                                                Professional Communication Solutions and Mobility & IT Applications
                                                for
                                                Public Safety,
                                                Government,
                                                Commercial, Industrial and Transport sectors. AIR began in 1990 and has
                                                since grown to direct offices in nine countries and partners in over 60
                                                countries all over the world, including U.S.A, Africa, Europe and the
                                                Middle
                                                East.",AIR,http://www.airadio.com/
"ALM Systems and Controls, Inc. is a high tech solutions provider,
                                                focusing on systems integration, software, electrical design and
                                                turn-key engineering solutions for industrial and commercial clients.
                                                They provide
                                                automation services to
                                                several industries, including Building Automation, Water Treatment,
                                                Sewerage Treatment, Pharmaceutical, Data Collection Systems, Food and
                                                Beverage, Converting, Material Handling, Power Generation and Machine
                                                Builders.","ALM Systems
                                               ",http://www.almsystemscorp.com/
"Advance Industrial Technologies and Solutions (AIWTS) is a US-based
                                                cutting edge technology engineering
                                                consulting and business development firm that provides customers in
                                                critical infrastructure applications
                                                (plant automation, O&G, WWW, electric, energy efficiency,
                                                digitalization, etc.) a fully integrated intelligent
                                                automation solution from wireless instruments, to control systems to
                                                Cloud-based IIoT digital solutions to
                                                reduce customer’s CAPEX & OPEX, as well introducing them to new IIoT
                                                technologies.
                                                We have offices throughout the US and Latin America, including
                                                engineering and we have partners in most Latin American countries.",AIWT&S,https://www.aiwts.net/
"Advance Industrial Technologies and Solutions (AIWTS) is a US-based
                                                cutting edge technology engineering
                                                consulting and business development firm that provides customers in
                                                critical infrastructure applications
                                                (plant automation, O&G, WWW, electric, energy efficiency,
                                                digitalization, etc.) a fully integrated intelligent
                                                automation solution from wireless instruments, to control systems to
                                                Cloud-based IIoT digital solutions to
                                                reduce customer’s CAPEX & OPEX, as well introducing them to new IIoT
                                                technologies.
                                                We have offices throughout the US and Latin America, including
                                                engineering and we have partners in most Latin American countries.",AIWT&S,https://www.aiwts.net/
